"Row","Index","Value"
"73","1",""
"73","2",""
"73","3",""
"73","4",""
"73","5","For information, emissions from the following precursors are relevant for the embedded emissions of the types of aggregated goods listed above. Where those precursors are actually relevant for your production processes, please make sure those are also listed either as products in the table above (if produced within your installation) or under section 5 ""purchased precursors"" below (where produced in other installations). Please note that for some goods the same aggregated good category itself can be a relevant precursor (e.g. iron & steel products, aluminium products, mixed fertilisers)."
"73","6",""
"73","7",""
"73","8",""
"73","9",""
"73","10",""
"73","11",""
"73","12",""
"73","13",""
"73","14",""
"73","15",""
"73","16",""
"73","17",""
"73","18",""
"73","19",""
"73","20",""
"73","21",""
"73","22",""
"73","23",""
"73","24",""
"73","25",""
"73","26",""
"73","27",""
"73","28",""
"73","29",""
"73","30",""
"73","31",""
"73","32",""
"73","33",""
"73","34",""
"73","35",""
