"Row","Index","Value"
"13","1",""
"13","2",""
"13","3",""
"13","4",""
"13","5","Please enter here the starting date and the end date of the reporting period to which the data entered in this communication template refers to. For example, if you want to report data based on the whole calendar year 2023, the starting date would be 1.1.2023 and the end date 31.12.2023."
"13","6",""
"13","7",""
"13","8",""
"13","9",""
"13","10",""
"13","11",""
"13","12",""
"13","13",""
"13","14",""
"13","15",""
"13","16",""
"13","17",""
"13","18",""
"13","19",""
"13","20",""
"13","21",""
"13","22",""
"13","23",""
"13","24",""
"13","25",""
"13","26",""
"13","27",""
"13","28",""
"13","29",""
"13","30",""
"13","31",""
"13","32",""
"13","33",""
"13","34",""
"13","35",""
