"Row","Index","Value"
"77","1",""
"77","2",""
"77","3",""
"77","4","(b)"
"77","5","Relevant production processes"
"77","6",""
"77","7",""
"77","8",""
"77","9",""
"77","10",""
"77","11",""
"77","12",""
"77","13",""
"77","14",""
"77","15",""
"77","16",""
"77","17",""
"77","18",""
"77","19",""
"77","20",""
"77","21",""
"77","22",""
"77","23",""
"77","24",""
"77","25",""
"77","26",""
"77","27",""
"77","28",""
"77","29",""
"77","30",""
"77","31",""
"77","32",""
"77","33",""
"77","34",""
"77","35",""
