"Row","Index","Value"
"58","1",""
"58","2",""
"58","3",""
"58","4",""
"58","5","Please list here ALL aggregated goods categories, including any relevant precursor types produced WITHIN the installation."
"58","6",""
"58","7",""
"58","8",""
"58","9",""
"58","10",""
"58","11",""
"58","12",""
"58","13",""
"58","14",""
"58","15",""
"58","16",""
"58","17",""
"58","18",""
"58","19",""
"58","20",""
"58","21",""
"58","22",""
"58","23",""
"58","24",""
"58","25",""
"58","26",""
"58","27",""
"58","28",""
"58","29",""
"58","30",""
"58","31",""
"58","32",""
"58","33",""
"58","34",""
"58","35",""
