"Row","Index","Value"
"81","1",""
"81","2",""
"81","3",""
"81","4","ID"
"81","5","Aggregated goods category"
"81","6","Included goods categories listed under (a)"
"81","7",""
"81","8",""
"81","9",""
"81","10",""
"81","11",""
"81","12","Name"
"81","13",""
"81","14","Error message"
"81","15",""
"81","16",""
"81","17",""
"81","18",""
"81","19",""
"81","20",""
"81","21",""
"81","22",""
"81","23",""
"81","24",""
"81","25",""
"81","26",""
"81","27",""
"81","28",""
"81","29",""
"81","30",""
"81","31",""
"81","32",""
"81","33",""
"81","34",""
"81","35",""
